Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
2659689317_sort.swc,23095,157623000.0,6,1758,3524,1767,382240,481596,162591,353.484,6979230,7965060000,1327190000000.0,343277.0,438602.0,238,0.928272,5.55335,0.791223,101.886,95.1731,1.71056,2659689317
2700163501_sort.swc,18726,218149000.0,5,1195,2395,1201,333640,517632,174009,388.96,5745270,7478620000,1992770000000.0,383578.0,739654.0,109,0.922319,6.81837,0.822274,103.765,96.895,1.65448,2700163501
27260318475_sort.swc,62800,307066000.0,7,5074,10181,5108,460230,510208,119757,421.721,19036600,25906100000,6200730000000.0,376356.0,476901.0,283,0.929528,5.16825,0.814396,99.8305,95.153,2.00967,27260318475
27390324879_sort.swc,44849,466971000.0,7,3569,7160,3592,339870,326464,116226,397.911,13596500,17645500000,3551750000000.0,229803.0,441850.0,246,0.929296,5.26369,0.814775,100.115,94.9625,1.90657,27390324879
27477638554_sort.swc,9175,36499100.0,5,750,1504,755,263010,280832,104577,496.355,2778990,4468970000,1011870000000.0,190516.0,259628.0,110,0.932812,5.09973,0.866202,103.83,97.288,1.4058,27477638554
27478208288_sort.swc,50109,357074000.0,5,3858,7737,3880,415040,473632,124179,405.567,15165700,19692500000,3407020000000.0,374187.0,681130.0,261,0.928318,5.47641,0.833288,100.038,95.178,1.78332,27478208288
2757428565_sort.swc,5404,141001000.0,4,229,460,232,170530,287424,56001,454.614,1710340,2749930000,1364540000000.0,196051.0,273960.0,70,0.921506,10.7457,0.819207,104.91,93.6765,1.37151,2757428565
27739127078_sort.swc,60216,261262000.0,4,4521,9072,4552,581850,472128,122100,494.851,18319800,29166500000,8080430000000.0,394786.0,483914.0,303,0.931495,5.63746,0.84443,100.919,95.0655,1.99514,27739127078
27739288722_sort.swc,28427,88152800.0,3,2249,4512,2264,336700,315136,115038,440.395,8585720,12076200000,2790990000000.0,202112.0,263297.0,166,0.929556,5.30009,0.820792,101.03,95.2127,1.63434,27739288722
27754604503_sort.swc,42012,411994000.0,5,3014,6040,3027,560190,470144,119592,451.535,12784300,18721000000,3766240000000.0,366921.0,460778.0,250,0.929506,5.95546,0.837475,100.082,94.9607,1.70955,27754604503
27929627120_sort.swc,10957,2986780.0,3,835,1672,838,184550,413952,111936,496.209,3304300,5205910000,1060480000000.0,268249.0,338337.0,112,0.925622,5.55263,0.851958,104.847,94.6942,1.40792,27929627120
28060933699_sort.swc,25994,137650000.0,9,1890,3792,1903,314980,463328,118866,420.5,7903210,11149900000,2678170000000.0,306610.0,376861.0,167,0.931553,5.85469,0.811632,101.01,95.7252,1.74046,28060933699
28134363840_sort.swc,26169,270550000.0,5,2062,4132,2071,277000,442400,114642,352.461,7875620,8885000000,1208510000000.0,240727.0,301571.0,165,0.931752,5.33301,0.796696,100.658,95.9329,1.58305,28134363840
